Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-07,2,John Cunnington: First do no harm!,"Today, my wife, Yvonne, was thrown off Twitter, an act of censorship that brings to mind this quote from John F Kennedy: ""A nation that is afraid to let its people judge the truth and falsehood in an open market is a nation that is afraid of its people."" https://t.co/XZRfgsL8zw",Fri Jan 07 00:27:18 +0000 2022,1447,4328
2022-01-07,3,Shivaji Vitthalrao🇮🇳,"Having Tea with my Aunt ""Jayashree"".

It reminded me of Jaysree Tea. 😀

Stock looks a good turn around with SL 90 can do 140

Short term target 114 then 140. https://t.co/2hmrB1Kesv",Fri Jan 07 15:35:16 +0000 2022,8,217
2022-01-07,4,Ayushi Chky,"🌁INDIA CEMENT (CSK) UP BY 13% CMP 236

🌁View-Hold

It’s Not Overconfidence But Consistent Study &amp; Pure Hard-work Before Recommending Any Stock On Twitter 

Hope My Efforts Are Helping You in Your Investment Decisions

My Good Wishes 

#Investing https://t.co/3KhWQEswg1",Fri Jan 07 08:32:38 +0000 2022,8,312
2022-01-07,5,Bert,"🧵 Norwegian state ownership of OSE thread:

Norway 🇳🇴 held 36% of the shares on the Oslo Stock Exchange (OSE) by market value in 2012.

They own companies directly through government ministries and through the national SWF (not from oil revenue) Folketrygdfondet. https://t.co/ENPOl6PZOl",Fri Jan 07 23:56:16 +0000 2022,5,30
2022-01-07,6,charles sigouin,"Bandol 2014 it is! Cheers @alex79martel @BenLemieux 
@stock_guy1 #winelover https://t.co/j02ImS3SZg",Fri Jan 07 23:55:44 +0000 2022,0,4
2022-01-07,7,Tris Stock 🇵🇸,And this is why you can't take Centrists seriously.,Fri Jan 07 23:57:54 +0000 2022,3,6
2022-01-07,8,Arjun ✨,"This tender won by Adani is to import coal from overseas and is happening when India is the second largest producer of coal.

Adani began shipping the first export cargo from its controversial Carmichael coal mine in Australia to India last month even before winning this tender. https://t.co/bXJ8xmDPYa",Fri Jan 07 01:52:36 +0000 2022,96,274
2022-01-07,9,John H,"Worst trade today was on $BABA. The real screw up here is not taking a smaller loss when the post-entry volume was clearly declining on red candles. The loss should have been half of this.

#BBTfamily #DayTrading #trading #stocks #StockMarket #NYSE https://t.co/pK48edjNEz",Fri Jan 07 23:57:16 +0000 2022,0,13
2022-01-07,10,Simon French,@Simon_Nixon Good piece Simon. This is the chart that continues to undermine those who say Brexit has done no damage to UK capital markets. 45ppt swing in the valuation gap for UK public companies. https://t.co/wvCB6hWisw,Fri Jan 07 11:22:40 +0000 2022,235,361
2022-01-06,1,Toptrdr (respect the power of the market ),no one listens when trend is going their way they make up stories of happy ending .until SHAZAM https://t.co/rw7LJ1UGlX,Thu Jan 06 23:56:04 +0000 2022,0,2
