Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-05,5,レイチェル,おはようございます。主要3指数は揃って下落。ダウは上昇して始まったものの、FOMC議事要旨がタカ派的(金融引き締めに積極的)な内容だったこと受け下落に転じる。ナスダックは3%を超える大幅下落。今日も顔晴っていきましょう。 https://t.co/ee3Xr2SqGi,Wed Jan 05 21:41:28 +0000 2022,54,657
2022-01-05,6,"Tofiq Fazlullah CIA (USA) ,CMA (UK )","$AMC  Again  under short attack by hedgies  at market open, was starting to recover after lunch  but Fed . minutes news caused overall market to fall ,this affected $AMC too , but in case of market crash, Margin Calls on Hedge Funds could lead to short covering rally for $AMC. https://t.co/dQwTW1OdRp",Wed Jan 05 20:25:01 +0000 2022,63,387
2022-01-05,7,Vostok Lake 🎹⚢ 🥁,"""A million strong in the market square throng
 And the government is going to fall"" https://t.co/keKDv4tqQC",Wed Jan 05 23:59:45 +0000 2022,2,3
2022-01-05,8,チャートむすめちゃん,おはようございます。昨日の米国株は揃って大幅に下落しましたね。FOMC議事要旨が発表されたあとNASDAQ中心にベアマーケットへ。10年債利回りは1.7を超えています。また仮想通貨も全面安です。ドル円は116円台に。個別はどれもやばいですがTSLAが5%を超える下落。EV戦争を勝ち残るのはどこだろう🚗 https://t.co/HHhA7JtbJH,Wed Jan 05 22:30:23 +0000 2022,5,219
2022-01-05,9,JimmyJab,"Down almost 10% with low volume and no catalysts.

Not a single green candle the 30min chart. Barely any on the 15min.

RSI has been oversold for days. It is at 13 on the 30min chart (below 30 RSI is considered oversold...)

This is a robbery in broad fucking daylight @SECGov https://t.co/UgGLoIJu0Z",Wed Jan 05 18:11:26 +0000 2022,78,356
2022-01-05,10,Sumon Sadhu 🌏 🐯,"In 1968 Arthur Rock bought 50% of @intel for $2.5m. 

He joined as chairman of the board, actively helping the company &amp; guiding them to IPO in 1971 at $23.50/share and $82.5m market cap, after its first cashflow positive year. 

50% market share, profitability, IPO in 3 years. https://t.co/nWBaOi9VOt",Wed Jan 05 23:57:05 +0000 2022,0,3
2022-01-08,1,JISOO CHARTS,"According to Nielsen Korea, JTBC drama #SNOWDROP recorded an average rating (nationwide). #SnowdropEp8

Ep 8 — 2.580%

#JISOO #영로 #설강화 #지수 #블랙핑크지수 https://t.co/uEVTld3mzE",Sat Jan 08 23:32:03 +0000 2022,585,2764
2022-01-08,2,Edson C. Guido,"BREAKING: DOH reports 26,458 new cases today, a NEW RECORD HIGH 🚨

The 43.7% positivity rate is also a record high for the 4th straight day ⚠️

ICU bed occupancy in NCR is now at 51% from 25% last week ⬆️

Active cases are back to over 100,000, the highest since October 9 ⬆️ https://t.co/uVl8xqC2ed",Sat Jan 08 08:00:47 +0000 2022,784,1212
2022-01-08,3,Hemanth NBK 🦁,"Close to 150cr gross 💥👍🤙🔥🔥
Sankranthi ki Theatres ilaage hold cheste first 150cr grosser for #GodofMassesNBK loading ⌛💥

#NandamuriBalakrishna 🦁
#AkhandaMassJathara #Akhanda https://t.co/9z0tQtX5Tj",Sat Jan 08 11:22:01 +0000 2022,54,206
2022-01-08,4,Ten_Bagger,"🔥 BIG STOCK MARKET TOP IS COMING 🔥
My roadmap for a big top in stock markets in late  Q1/early Q2 2022 remains! 
Bond yields to top late Q1 (top in cyclicals/value). Can growth come to rescue like like Q2 21? I doubt it this time. Risk for a -20-25% market drop into 2023 😱 1/x https://t.co/uVcQumbxkH",Sat Jan 08 17:06:49 +0000 2022,60,691
2022-01-08,5,Noelfinway🔞,Bnnuy who's duty today is praising you and carrying your errands as you browse the market. https://t.co/eZcGYDqBrH,Sat Jan 08 23:55:32 +0000 2022,1,2
2022-01-08,6,JISOO CHARTS,"""설강화"" (Snowdrop) is currently trending #1 on NATE Real-time issue keywords. #SnowdropEp8
📎https://t.co/zoQqqvQXcB

#JISOO #SNOWDROP #지수 #설강화 #영로 #블랙핑크지수 https://t.co/rmrTXf83u0",Sat Jan 08 15:21:04 +0000 2022,853,2731
2022-01-08,7,Key.ma,The #Forex #market is open. Let's go get some #pips ;) #fx,Sat Jan 08 23:59:49 +0000 2022,1,0
2022-01-08,8,mignolet,"(긴글)큰 손은 가격 차트를 급하게 올릴 생각이 없어보입니다. 41k를 지키더라도 유동성이 살아나지 못한다면, 시간이 필요하고, 힘이 빠지면 더 큰 가격 하락도 냉정하게 생각해야됩니다. 어제 언급드렸듯이, 노랑색 박스 구간은, 주요 거래소의 매수 벽이 있는 구간이었고, 잘 지켜내고 있습니다. https://t.co/1hB9PBN3pp",Sat Jan 08 02:51:16 +0000 2022,25,282
2022-01-08,9,Trading Warz,"FREE #Options Swings Ideas 🤯

These are very SPECIAL Outside Bars on the Weekly

$AAPL  Calls &gt;182.39 | Puts &lt;172.16
$SPY    Calls &gt;479.34 | Puts &lt;466.08
$TSLA  Calls &gt;1204.76 | Puts &lt;1026.95

Get at least 2 Weeks Out!

199 ❤️for more FREE picks https://t.co/s1GtullX8W",Sat Jan 08 00:28:40 +0000 2022,20,375
2022-01-08,10,グリーディー,"ハイテク成長株の時価総額チェック↓

■PSR
Snowflake：68倍
SentinelOne：51倍
Cloudflare：50倍
Datadog：42倍
Zscaler：40倍
Shopify：33倍
MongoDB：31倍
Atlassian：31倍
Unity：31倍
CrowdStrike：28倍
ZoomInfo：26倍
Okta：22倍
-
DocuSign：12倍
Zoom：12倍

今年もよろしくお願いします！ https://t.co/fgXynaE26D",Sat Jan 08 09:02:00 +0000 2022,29,271
2022-01-06,1,レイチェル,米国株式相場はFOMC議事要旨公表を受けて急落。今年3回の利上げは織り込んでいたものの、保有資産の縮小が今年の半ばから始まるというのはサプライズ。タカ派的な内容ということで長期金利が上昇。14時公表直後から綺麗に株価は下落しました。 https://t.co/aQng8yvXUg,Thu Jan 06 04:01:49 +0000 2022,11,246
2022-01-06,2,Uğur,Uzun zamandır şirket analizi yapmıyorduk. Kötü gün yaşayan ve toplama umudu olan bir şirkete çok soru geldiği için beraber bakalım. Şirketimizin adı #Trcas. Seçilmesinin nedeni ise en değersiz görülen varlığını 75 M$ Piyasa değerinde iken yaklaşık 67 M$ a satması. https://t.co/QP7lCtTReQ,Thu Jan 06 18:33:47 +0000 2022,59,676
2022-01-06,3,Toptrdr (respect the power of the market ),no one listens when trend is going their way they make up stories of happy ending .until SHAZAM https://t.co/rw7LJ1UGlX,Thu Jan 06 23:56:04 +0000 2022,0,2
2022-01-06,4,Sir Contraire,"ASX - range bound +/- 3.5% for over half a year. It's a nothing market. No wonder get rich quicks have been flogging shitcoins and penny stocks hard of late.

#toughoutthere https://t.co/xdLetXpD9l",Thu Jan 06 23:52:42 +0000 2022,1,3
2022-01-06,5,もみあげ🇺🇸 米国株投資,"米国株まとめ
ダウ-0.47% ナス-0.13% SP-0.1% ラッセル+0.56% もみ+0.6%
原油+2%　金利2年+4.4bps 10年2.2bps
実質金利大きく上昇（4枚目）
→地銀(DPST）・エネルギー強い
・小型バリュー好調
・中国株上昇JD+6% BEKE+10%
・トランプアプリ2/21リリース DWAC+19%
FB,NVDA切り返しも、ナス売り多く重い https://t.co/wpv3t7N4XW",Thu Jan 06 21:15:47 +0000 2022,23,237
2022-01-06,6,Ȧ̵̰̹̤̫̦͚̝̘̓v𝖌Ape⏳,"1/6 #AMCDAY  #Darkpooldata👀

After Hours⬆️💥💎

58% of $AMC Trading vol #Darkpools/#OTC 

Calls➡️59%   Puts➡️41%

14M volume discrepancy

Market Chameleon - Vol 45,830,721 Vol

Stockgrid - 58,849,115 Vol

Patience is🗝️#MOASS

""Sic Semper Tyrannis""#Darkpoolabuse #StockMarket #AMC https://t.co/eDr4lhqMXG",Thu Jan 06 23:56:45 +0000 2022,4,21
2022-01-06,7,WeedStreet420,Meme stock season is back? https://t.co/iXI3FVnmiE,Thu Jan 06 23:51:28 +0000 2022,0,22
2022-01-06,8,orhun,"A dan Z ye borsa hakkında ne biliyorsam teknik analiz temel analiz takas analizi vs. sayfamda bir bir hepsini  paylaşacağım.

Ücretli eğitimlerde anlatacakları bunlardan fazlası değil emin olun.

Bu işi öğrenmeden yapana ekmek yok bu piyasada, en azından temel faktörleri öğrenin. https://t.co/ivgrUS18OT",Thu Jan 06 19:15:59 +0000 2022,20,258
2022-01-06,9,ひよの⛄レバナス全力ガール,"NASDAQ100が100日移動平均線に近づいて来ましたので、ひよの買い増し基準と買付金額を整理します。

【基準】
NDXが100MAを下回っている間、乖離率に応じて毎日レバナス買付

【1日あたりの買付金額】
-1%未満：500円
-1%台：1,000円
-2%台：2,000円
-3%台：3,000円
-4%台：4,000円
-5%以上：5,000円 https://t.co/IkYwQxfbw3",Thu Jan 06 11:43:14 +0000 2022,48,1116
2022-01-06,10,tk_wegbe,"#WhenMdotSaid
I dey fit to shock but trolling is mandatory
How am I the laughing stock, who’s taking inventory? https://t.co/bSiWttaLAm",Thu Jan 06 23:58:03 +0000 2022,0,3
2022-01-07,1,John H,"Worst trade today was on $BABA. The real screw up here is not taking a smaller loss when the post-entry volume was clearly declining on red candles. The loss should have been half of this.

#BBTfamily #DayTrading #trading #stocks #StockMarket #NYSE https://t.co/pK48edjNEz",Fri Jan 07 23:57:16 +0000 2022,0,13
2022-01-07,2,Nazeem Elkommos,"WHERE THE FUCK IS THE OUTRAGE #AMC CLOSED AT $23.11 and They’re Reporting it as $22.99 So They Can Get These Options Expiring OTM and They Can Pocket Hard Working People’s Money. All I can say is this is Criminality At the Highest FUCKING Form.
#rigidmarkets #SEC #CitadelScandal https://t.co/k0OtKwSRZm",Fri Jan 07 22:26:59 +0000 2022,104,350
